paper_id,check,passed,detail
manifest,required columns present,True,all required columns present
wifs_2026,tex file exists,True,reports/assets/paper_skeletons/wifs_2026_paper_skeleton.tex
wifs_2026,expected documentclass,True,\documentclass[conference]{IEEEtran}
wifs_2026,contains \title{,True,present
wifs_2026,contains \begin{document},True,present
wifs_2026,contains \maketitle,True,present
wifs_2026,contains \begin{abstract},True,present
wifs_2026,contains \end{abstract},True,present
wifs_2026,contains \end{document},True,present
wifs_2026,contains \bibliography{references},True,present
wifs_2026,table input paths exist,True,6 paths present
wifs_2026,method family table referenced,True,method-family LaTeX table input present
wifs_2026,source stress table referenced,True,source stress LaTeX table input present
wifs_2026,figure paths exist,True,5 paths present
wifs_2026,source stress figure referenced,True,"source stress figure path, label, and text reference present"
wifs_2026,references.bib exists,True,references.bib present
wifs_2026,citation count matches manifest,True,3 cite commands; manifest expects 3
wifs_2026,citation keys exist in references.bib,True,13 cited keys found
wifs_2026,no TODO placeholders,True,0 TODO markers in tex; manifest records 0
wifs_2026,draft prose sections populated,True,manifest records 5 draft prose sections
wifs_2026,claim checklist present,True,present
wifs_2026,claim count matches manifest,True,8 items; manifest expects 8
wifs_2026,claim items include evidence and caveats,True,"8 evidence markers, 8 caveat markers"
wifs_2026,guardrail term present: single-image proxy,True,present
wifs_2026,guardrail term present: does not universally beat CLIP,True,present
wifs_2026,guardrail term present: robustness transform caveat,True,present
dff_2026,tex file exists,True,reports/assets/paper_skeletons/dff_2026_workshop_skeleton.tex
dff_2026,expected documentclass,True,"\documentclass[sigconf,review,anonymous]{acmart}"
dff_2026,contains \title{,True,present
dff_2026,contains \begin{document},True,present
dff_2026,contains \maketitle,True,present
dff_2026,contains \begin{abstract},True,present
dff_2026,contains \end{abstract},True,present
dff_2026,contains \end{document},True,present
dff_2026,contains \bibliography{references},True,present
dff_2026,table input paths exist,True,6 paths present
dff_2026,method family table referenced,True,method-family LaTeX table input present
dff_2026,source stress table referenced,True,source stress LaTeX table input present
dff_2026,figure paths exist,True,5 paths present
dff_2026,source stress figure referenced,True,"source stress figure path, label, and text reference present"
dff_2026,references.bib exists,True,references.bib present
dff_2026,citation count matches manifest,True,3 cite commands; manifest expects 3
dff_2026,citation keys exist in references.bib,True,13 cited keys found
dff_2026,no TODO placeholders,True,0 TODO markers in tex; manifest records 0
dff_2026,draft prose sections populated,True,manifest records 6 draft prose sections
dff_2026,claim checklist present,True,present
dff_2026,claim count matches manifest,True,9 items; manifest expects 9
dff_2026,claim items include evidence and caveats,True,"9 evidence markers, 9 caveat markers"
dff_2026,guardrail term present: single-image proxy,True,present
dff_2026,guardrail term present: does not universally beat CLIP,True,present
dff_2026,guardrail term present: robustness transform caveat,True,present
